date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:52	23185/23185	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2015:08:51%20GMT	https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/see-you-soon-11541333c52.html	(from )
20:38:54	233/233	---M-Z	200	added ('OK')	text/plain	etag:%2203440e24818d81:0%22	https://nicepage.com/robots.txt		(from )
20:38:55	33655/33655	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2015:08:53%20GMT	https://nicepage.com/html-templates/preview/html-templates	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/html-templates.1.delayed	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:38:57	33649/33649	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2015:08:54%20GMT	https://nicepage.com/html-templates/preview/window.location.href	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/window.location.2.delayed	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:38:58	101716/101716	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2004%20Mar%202022%2015:08:57%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/01yuv/Desktop/vic/work/connect.facebook.net/en_US/fbevents.js	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:38:59	55079/55079	---M-Z	200	added ('OK')	application/javascript	etag:%22b568e7b3c9d94da6a1d4845b18400f7a%22	https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js	C:/Users/01yuv/Desktop/vic/work/cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:39:01	177251/177251	---MCZ	200	added ('OK')	text/css	etag:W/%220e5273ece2fd81:0%22	http://capp.nicepage.com/1a84492f5c92d76715e722d2c20d6be2f9f2ca33/main-libs.css	C:/Users/01yuv/Desktop/vic/work/capp.nicepage.com/1a84492f5c92d76715e722d2c20d6be2f9f2ca33/main-libs.css	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:39:04	33630/33630	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2015:09:00%20GMT	https://nicepage.com/html-templates/preview/c	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/c.7.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
20:39:08	33630/33630	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2015:09:04%20GMT	https://nicepage.com/html-templates/preview/b	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/b.8.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
20:39:08	484170/484170	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e5273ece2fd81:0%22	http://capp.nicepage.com/1a84492f5c92d76715e722d2c20d6be2f9f2ca33/main-libs.js	C:/Users/01yuv/Desktop/vic/work/capp.nicepage.com/1a84492f5c92d76715e722d2c20d6be2f9f2ca33/main-libs.js	(from https://nicepage.com/html-templates/preview/see-you-soon-1154133?device=desktop)
20:39:12	33633/33633	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2015:09:08%20GMT	https://nicepage.com/html-templates/preview/POST	C:/Users/01yuv/Desktop/vic/work/nicepage.com/html-templates/preview/POST.9.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
